City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
arauca,7.0847,-70.7591,88.38,42.0,93.0,4.32,CO,1611957894.0
liverpool,53.4106,-2.9779,41.0,93.0,90.0,10.36,GB,1611957731.0
constitucion,-35.3333,-72.4167,62.35,89.0,100.0,5.7,CL,1611957894.0
kirovskiy,45.0917,133.5136,-24.07,86.0,1.0,3.02,RU,1611957894.0
waiuku,-37.25,174.75,66.99,45.0,16.0,8.05,NZ,1611957894.0
tuktoyaktuk,69.4541,-133.0374,-34.6,67.0,20.0,2.3,CA,1611957895.0
kloulklubed,7.0419,134.2556,80.94,74.0,100.0,22.95,PW,1611957895.0
san jose,37.3394,-121.895,57.99,50.0,75.0,6.91,US,1611957895.0
cananea,30.95,-110.3,61.0,19.0,0.0,18.99,MX,1611957895.0
athabasca,54.7169,-113.2854,1.4,85.0,0.0,1.14,CA,1611957670.0
raudeberg,61.9875,5.1352,34.0,93.0,75.0,5.75,NO,1611957896.0
rockland,41.1668,-74.0496,23.0,51.0,14.0,1.01,US,1611957896.0
yar-sale,66.8333,70.8333,-41.69,81.0,15.0,3.4,RU,1611957896.0
ordzhonikidze,52.4411,61.7408,16.2,96.0,100.0,9.08,KZ,1611957896.0
shar,49.5886,81.0453,7.27,91.0,44.0,8.81,KZ,1611957897.0
broome,42.2506,-75.833,15.01,67.0,75.0,10.36,US,1611957897.0
chongwe,-15.3292,28.682,66.2,100.0,75.0,2.3,ZM,1611957897.0
oranjemund,-28.55,16.4333,61.43,85.0,0.0,11.59,NA,1611957898.0
hualmay,-11.0964,-77.6139,74.61,67.0,6.0,10.11,PE,1611957898.0
provideniya,64.3833,-173.3,-7.28,82.0,92.0,7.67,RU,1611957655.0
manoel urbano,-8.8389,-69.2597,81.95,73.0,70.0,4.52,BR,1611957898.0
san ignacio,17.1561,-89.0714,77.0,73.0,75.0,5.06,BZ,1611957898.0
champerico,14.3,-91.9167,89.6,62.0,40.0,16.11,GT,1611957899.0
inirida,3.8653,-67.9239,85.26,65.0,31.0,1.79,CO,1611957899.0
eureka,40.8021,-124.1637,54.0,81.0,1.0,9.22,US,1611957899.0
thai binh,20.45,106.3333,60.8,82.0,0.0,3.44,VN,1611957900.0
olinda,-8.0089,-34.8553,78.8,69.0,75.0,6.91,BR,1611957704.0
karabash,55.4808,60.2157,12.87,93.0,100.0,7.31,RU,1611957900.0
salalah,17.0151,54.0924,73.4,60.0,75.0,5.75,OM,1611957740.0
aklavik,68.2191,-135.0107,-31.0,75.0,20.0,3.44,CA,1611957901.0
gamboula,4.1178,15.1393,72.59,54.0,22.0,1.99,CF,1611957901.0
comodoro rivadavia,-45.8667,-67.5,62.6,42.0,40.0,10.36,AR,1611957618.0
matara,5.9485,80.5353,75.16,87.0,90.0,1.88,LK,1611957902.0
puerto varas,-41.3195,-72.9854,64.4,52.0,0.0,13.8,CL,1611957903.0
sarai sidhu,30.5949,71.9698,48.2,81.0,0.0,3.0,PK,1611957903.0
nuuk,64.1835,-51.7216,26.01,86.0,1.0,10.36,GL,1611957758.0
nanzhou,29.3596,112.4024,47.93,77.0,97.0,2.37,CN,1611957904.0
komoro,36.3167,138.4333,21.0,86.0,24.0,3.0,JP,1611957910.0
puerto escondido,15.85,-97.0667,84.2,74.0,75.0,11.5,MX,1611957910.0
lokosovo,61.1333,74.8167,-36.45,81.0,32.0,3.83,RU,1611957910.0
birin,26.8865,88.0718,41.86,77.0,0.0,4.63,NP,1611957911.0
tamiahua,21.2667,-97.45,68.86,77.0,86.0,7.49,MX,1611957911.0
lata,40.1629,-8.3327,57.0,100.0,100.0,8.01,PT,1611957837.0
perth,-31.9333,115.8333,66.99,59.0,0.0,20.71,AU,1611957883.0
limot,7.0405,126.2727,73.4,100.0,75.0,4.61,PH,1611957911.0
hosingen,50.0178,6.0933,44.01,95.0,98.0,7.0,LU,1611957912.0
shingu,33.7333,135.9833,34.7,82.0,0.0,7.52,JP,1611957912.0
keuruu,62.2667,24.7,19.4,93.0,90.0,10.36,FI,1611957912.0
minnedosa,50.2453,-99.8436,17.6,86.0,90.0,11.5,CA,1611957912.0
fare,-16.7,-151.0167,80.33,70.0,71.0,6.49,PF,1611957749.0
naze,28.3667,129.4833,53.6,58.0,75.0,11.5,JP,1611957733.0
nuevo progreso,23.1667,-97.95,73.99,55.0,71.0,5.99,MX,1611957913.0
chiknayakanhalli,13.4172,76.6228,64.29,70.0,0.0,6.38,IN,1611957913.0
hay river,60.8156,-115.7999,-5.8,71.0,13.0,3.44,CA,1611957764.0
port hedland,-20.3167,118.5667,80.6,89.0,36.0,5.75,AU,1611957913.0
lasa,46.6166,10.7002,36.0,86.0,75.0,3.44,IT,1611957914.0
turiacu,-1.6633,-45.3717,78.13,81.0,92.0,6.29,BR,1611957914.0
emba,48.8264,58.1442,22.91,95.0,100.0,8.61,KZ,1611957914.0
murray bridge,-35.1167,139.2667,63.0,78.0,100.0,12.55,AU,1611957914.0
marawi,7.9986,124.2928,71.01,91.0,79.0,5.99,PH,1611957915.0
yerbogachen,61.2767,108.0108,-44.25,78.0,47.0,5.5,RU,1611957915.0
belaya gora,68.5333,146.4167,-28.14,85.0,100.0,3.47,RU,1611957915.0
saravan,39.7196,45.6483,32.0,86.0,90.0,4.61,AM,1611957915.0
yantal,56.8471,105.2542,-24.63,83.0,99.0,3.06,RU,1611957915.0
lake havasu city,34.4839,-114.3224,62.6,36.0,40.0,14.97,US,1611957916.0
annau,37.8876,58.516,48.2,57.0,75.0,2.3,TM,1611957916.0
bodden town,19.2833,-81.25,78.8,61.0,40.0,14.97,KY,1611957916.0
souillac,-20.5167,57.5167,80.6,83.0,40.0,11.5,MU,1611957681.0
kholodnyy,62.7167,147.95,-21.77,83.0,100.0,3.65,RU,1611957768.0
richards bay,-28.783,32.0377,71.91,88.0,83.0,1.61,ZA,1611957917.0
turukhansk,65.8167,87.9833,-30.17,77.0,97.0,5.7,RU,1611957765.0
taltal,-25.4,-70.4833,69.67,59.0,22.0,4.14,CL,1611957917.0
tabou,4.423,-7.3528,77.81,86.0,85.0,5.41,CI,1611957917.0
kargopol,61.5071,38.9456,19.13,97.0,99.0,6.93,RU,1611957918.0
burnie,-41.0667,145.9167,62.01,96.0,97.0,3.0,AU,1611957918.0
kuito,-12.3833,16.9333,61.57,80.0,84.0,3.27,AO,1611957918.0
yulara,-25.2406,130.9889,78.8,65.0,100.0,10.36,AU,1611957670.0
vangaindrano,-23.35,47.6,76.26,89.0,49.0,6.55,MG,1611957918.0
pergamino,-33.89,-60.5736,81.0,58.0,13.0,4.0,AR,1611957750.0
zinder,13.8072,8.9881,67.53,23.0,0.0,11.65,NE,1611957919.0
haines junction,60.7522,-137.5108,-5.8,77.0,100.0,2.01,CA,1611957753.0
christchurch,-43.5333,172.6333,59.0,62.0,90.0,10.36,NZ,1611957812.0
zurrieq,35.8311,14.4742,62.6,77.0,0.0,17.27,MT,1611957919.0
marrakesh,31.6315,-8.0083,60.8,55.0,0.0,5.75,MA,1611957919.0
sistranda,63.7256,8.834,35.6,93.0,75.0,21.85,NO,1611957920.0
hun,29.1268,15.9477,59.22,42.0,0.0,5.41,LY,1611957827.0
mpika,-11.8343,31.4529,62.06,93.0,100.0,1.52,ZM,1611957925.0
kapiri mposhi,-13.9652,28.6809,63.77,95.0,97.0,0.98,ZM,1611957925.0
bukan,36.521,46.2089,34.52,92.0,100.0,7.0,IR,1611957910.0
stepnyak,52.8339,70.7803,16.97,92.0,64.0,10.76,KZ,1611957926.0
buckeye,33.3703,-112.5838,57.99,76.0,73.0,12.66,US,1611957926.0
kayerkan,69.3497,87.7602,-31.76,71.0,20.0,2.3,RU,1611957926.0
yumen,40.2833,97.2,20.97,73.0,0.0,14.99,CN,1611957659.0
beloha,-25.1667,45.05,76.77,85.0,35.0,8.43,MG,1611957927.0
kambove,-10.8764,26.5969,61.93,92.0,100.0,1.32,CD,1611957927.0
shebalino,51.2917,85.6772,21.61,88.0,100.0,6.93,RU,1611957927.0
buzmeyin,38.0507,58.2056,48.2,57.0,75.0,2.3,TM,1611957927.0
xining,36.6167,101.7667,14.23,73.0,100.0,1.92,CN,1611957927.0
mogadishu,2.0371,45.3438,75.76,79.0,15.0,21.5,SO,1611957912.0
aginskoye,51.1,114.53,-20.42,80.0,100.0,2.57,RU,1611957928.0
berbera,10.4396,45.0143,73.36,77.0,4.0,2.62,SO,1611957928.0
nabire,-3.3667,135.4833,75.04,90.0,100.0,1.88,ID,1611957928.0
sao jose dos pinhais,-25.5347,-49.2064,71.01,94.0,75.0,4.61,BR,1611957929.0
kruisfontein,-34.0033,24.7314,61.0,84.0,2.0,1.01,ZA,1611957929.0
pacific grove,36.6177,-121.9166,55.99,58.0,40.0,5.75,US,1611957668.0
kamenka,51.3223,42.7678,33.01,91.0,90.0,17.92,RU,1611957929.0
santa rosa,14.3122,121.1114,75.99,73.0,75.0,4.61,PH,1611957765.0
harper,4.375,-7.7169,78.13,85.0,98.0,5.06,LR,1611957763.0
adrar,20.5022,-10.0711,68.38,22.0,0.0,9.73,MR,1611957930.0
douentza,14.9951,-2.9517,69.4,22.0,0.0,5.39,ML,1611957930.0
donskoye,45.4552,41.9741,33.8,93.0,75.0,6.71,RU,1611957930.0
placido de castro,-10.3353,-67.1856,82.02,76.0,70.0,3.02,BR,1611957930.0
ipixuna,-1.7625,-48.8043,82.4,78.0,75.0,9.22,BR,1611957931.0
tura,25.5198,90.2201,54.66,54.0,0.0,1.32,IN,1611957818.0
gat,31.61,34.7642,55.99,100.0,24.0,1.01,IL,1611957776.0
dormidontovka,47.7702,134.9076,-20.54,85.0,94.0,6.24,RU,1611957932.0
banda aceh,5.5577,95.3222,77.92,80.0,73.0,13.13,ID,1611957932.0
salamiyah,35.0113,37.0532,43.79,81.0,54.0,18.1,SY,1611957932.0
keti bandar,24.1447,67.4497,62.06,66.0,0.0,9.01,PK,1611957932.0
badvel,14.75,79.05,66.85,89.0,16.0,3.27,IN,1611957933.0
poum,-20.2333,164.0167,80.2,73.0,5.0,14.16,NC,1611957824.0
panguna,-6.3164,155.4848,76.53,87.0,51.0,4.34,PG,1611957933.0
mareeba,-17.0,145.4333,80.01,83.0,40.0,10.36,AU,1611957933.0
ninh binh,20.2539,105.975,60.42,84.0,0.0,2.93,VN,1611957933.0
padang,-0.9492,100.3543,73.4,100.0,75.0,3.44,ID,1611957817.0
kutum,14.2,24.6667,56.05,36.0,8.0,10.98,SD,1611957713.0
watrous,51.6668,-105.4679,17.6,79.0,100.0,9.22,CA,1611957934.0
saint anthony,45.0205,-93.218,25.0,68.0,90.0,9.22,US,1611957844.0
kalmar,56.6616,16.3616,25.0,100.0,98.0,6.91,SE,1611957935.0
yate,51.5407,-2.4184,46.0,92.0,100.0,4.72,GB,1611957935.0
nieuw amsterdam,5.8833,-55.0833,78.8,89.0,75.0,2.3,SR,1611957940.0
komsomolskiy,40.4272,71.7189,30.2,55.0,67.0,4.61,UZ,1611957940.0
mazamari,-11.3258,-74.5308,77.49,80.0,100.0,0.83,PE,1611957940.0
viedma,-40.8135,-62.9967,69.01,52.0,75.0,19.84,AR,1611957941.0
cayhagan,9.6697,122.4256,76.5,85.0,93.0,13.04,PH,1611957941.0
abilene,32.4487,-99.7331,63.0,51.0,1.0,17.27,US,1611957941.0
krasnoselkup,65.7,82.4667,-30.86,80.0,46.0,5.5,RU,1611957691.0
itupiranga,-5.1347,-49.3267,82.4,83.0,40.0,6.91,BR,1611957912.0
ryotsu,38.0833,138.4333,30.2,86.0,75.0,26.46,JP,1611957735.0
manjacaze,-24.7117,33.8828,73.69,96.0,0.0,2.01,MZ,1611957942.0
odweyne,9.4092,45.064,64.83,61.0,0.0,1.74,SO,1611957942.0
weihe,32.9952,105.3247,32.88,84.0,65.0,4.56,CN,1611957942.0
berlevag,70.8578,29.0864,23.0,74.0,75.0,8.05,NO,1611957943.0
krasnovka,48.8177,40.0923,34.0,93.0,100.0,19.33,RU,1611957943.0
praya,14.9215,-23.5087,73.4,56.0,75.0,19.57,CV,1611957943.0
zaraza,9.3503,-65.3245,80.33,62.0,73.0,11.3,VE,1611957943.0
foshan,23.0268,113.1315,64.99,76.0,0.0,2.24,CN,1611957835.0
bull savanna,17.8868,-77.5902,76.82,70.0,27.0,0.96,JM,1611957944.0
sonoita,31.85,-112.8333,57.99,68.0,84.0,10.0,MX,1611957944.0
rjukan,59.8789,8.5941,14.52,81.0,0.0,7.29,NO,1611957945.0
hadejia,12.4498,10.0444,68.99,22.0,0.0,9.86,NG,1611957945.0
sheboygan,43.7333,-87.9334,28.99,69.0,20.0,3.44,US,1611957945.0
inuvik,68.3499,-133.7218,-27.4,68.0,9.0,5.75,CA,1611957946.0
ambon,-3.6954,128.1814,77.0,83.0,40.0,3.44,ID,1611957930.0
tigil,57.8,158.6667,-7.87,91.0,97.0,5.53,RU,1611957729.0
zuenoula,7.4292,-6.0431,82.53,41.0,0.0,4.07,CI,1611957946.0
sayyan,15.1718,44.3244,47.48,54.0,0.0,1.12,YE,1611957661.0
morrope,-6.5417,-80.0111,82.0,61.0,0.0,20.71,PE,1611957947.0
hobyo,5.3505,48.5268,75.58,75.0,20.0,16.37,SO,1611957947.0
de-kastri,51.4667,140.7833,-1.07,90.0,100.0,7.25,RU,1611957947.0
byron bay,-28.65,153.6167,73.4,88.0,75.0,5.75,AU,1611957948.0
asau,46.4333,26.4,39.0,81.0,75.0,9.22,RO,1611957948.0
ciudad bolivar,8.1222,-63.5497,86.61,47.0,68.0,10.38,VE,1611957948.0
palu,-0.8917,119.8707,72.39,81.0,98.0,2.68,ID,1611957664.0
ponta do sol,32.6667,-17.1,57.0,75.0,76.0,1.99,PT,1611957949.0
taoudenni,22.6783,-3.9836,72.16,21.0,0.0,12.82,ML,1611957949.0
leshukonskoye,64.8989,45.7622,11.34,94.0,100.0,9.46,RU,1611957821.0
samarai,-10.6167,150.6667,82.29,76.0,82.0,7.18,PG,1611957950.0
westport,41.1415,-73.3579,21.99,42.0,1.0,14.97,US,1611957950.0
ahuimanu,21.4447,-157.8378,80.6,69.0,40.0,11.5,US,1611957950.0
morehead,37.2711,-87.1764,44.01,33.0,1.0,6.91,US,1611957950.0
eilenburg,51.4598,12.6334,41.0,96.0,95.0,1.99,DE,1611957950.0
los llanos de aridane,28.6585,-17.9182,64.4,88.0,40.0,6.91,ES,1611957791.0
yanji,42.9075,129.5078,1.53,88.0,100.0,0.54,CN,1611957951.0
rincon,32.296,-81.2354,53.6,37.0,20.0,3.36,US,1611957951.0
preston,53.7667,-2.7167,39.2,87.0,20.0,9.22,GB,1611957685.0
albacete,38.8333,-2.0,53.6,66.0,0.0,8.05,ES,1611957957.0
jishu,44.3167,126.8,-1.17,93.0,100.0,4.7,CN,1611957957.0
erenhot,43.6475,111.9767,10.06,89.0,39.0,6.4,CN,1611957957.0
iracoubo,5.4802,-53.2011,77.05,88.0,100.0,12.37,GF,1611957750.0
luanda,-8.8368,13.2343,80.6,78.0,20.0,6.91,AO,1611957958.0
kahului,20.8947,-156.47,78.8,57.0,40.0,18.41,US,1611957861.0
port keats,-14.25,129.55,80.1,87.0,99.0,11.88,AU,1611957958.0
hami,42.8,93.45,19.08,85.0,0.0,2.13,CN,1611957886.0
port moresby,-9.4431,147.1797,75.2,94.0,90.0,11.5,PG,1611957958.0
sioux lookout,50.1001,-91.917,14.0,67.0,75.0,5.75,CA,1611957959.0
saurimo,-9.6608,20.3916,65.48,94.0,79.0,2.06,AO,1611957959.0
yenagoa,4.9247,6.2642,79.81,85.0,17.0,4.09,NG,1611957704.0
myaundzha,63.0494,147.1858,-18.8,84.0,100.0,2.68,RU,1611957959.0
walvis bay,-22.9575,14.5053,68.0,82.0,73.0,8.05,NA,1611957788.0
balabac,7.9868,117.0645,80.24,80.0,63.0,20.71,PH,1611957960.0
podgornoye,51.735,39.1496,32.0,80.0,90.0,11.18,RU,1611957960.0
selikhino,50.3672,137.4996,-5.87,91.0,100.0,3.09,RU,1611957960.0
cabra,37.4725,-4.4421,55.4,100.0,90.0,3.44,ES,1611957961.0
lanigan,51.8501,-105.0344,17.6,79.0,100.0,9.22,CA,1611957961.0
halifax,44.6453,-63.5724,27.0,80.0,100.0,10.0,CA,1611957858.0
batagay,67.6333,134.6333,-44.77,75.0,100.0,0.36,RU,1611957959.0
taonan,45.3333,122.7833,-5.28,90.0,29.0,10.4,CN,1611957961.0
maxixe,-23.8597,35.3472,77.86,86.0,28.0,2.39,MZ,1611957962.0
phalodi,27.1333,72.3667,55.67,31.0,0.0,7.67,IN,1611957962.0
agua verde,22.9,-106.05,78.8,50.0,40.0,9.22,MX,1611957962.0
coria,39.9879,-6.5377,52.0,94.0,100.0,4.0,ES,1611957963.0
wajima,37.4,136.9,32.97,91.0,100.0,22.57,JP,1611957963.0
butembo,0.15,29.2833,60.51,66.0,9.0,2.51,CD,1611957963.0
shache,38.4167,77.2406,20.88,84.0,0.0,3.11,CN,1611957963.0
grand gaube,-20.0064,57.6608,77.0,82.0,0.0,3.0,MU,1611957964.0
coos bay,43.3665,-124.2179,51.01,71.0,90.0,9.22,US,1611957752.0
tias,28.9611,-13.645,64.4,94.0,0.0,2.3,ES,1611957964.0
susaki,33.3667,133.2833,28.4,74.0,20.0,2.3,JP,1611957763.0
caravelas,-17.7125,-39.2481,77.45,80.0,0.0,6.91,BR,1611957851.0
chiredzi,-21.05,31.6667,72.81,93.0,99.0,3.62,ZW,1611957965.0
kaeo,-35.1,173.7833,62.01,94.0,26.0,1.99,NZ,1611957748.0
russell,32.3502,-85.1999,59.0,23.0,1.0,1.21,US,1611957667.0
ancud,-41.8697,-73.8203,60.8,51.0,0.0,10.36,CL,1611957966.0
hudson bay,52.85,-102.3842,18.77,96.0,100.0,4.52,CA,1611957966.0
anloga,5.7947,0.8973,82.4,89.0,40.0,8.05,GH,1611957966.0
kamogawa,35.1,140.1,36.0,48.0,20.0,19.57,JP,1611957966.0
vila franca do campo,37.7167,-25.4333,59.0,88.0,20.0,9.22,PT,1611957967.0
kudahuvadhoo,2.6708,72.8944,81.07,78.0,67.0,15.57,MV,1611957967.0
balikpapan,-1.2675,116.8289,73.63,95.0,100.0,4.38,ID,1611957678.0
muros,42.7762,-9.0603,57.0,88.0,100.0,15.99,ES,1611957832.0
shalinskoye,55.7228,93.7594,3.34,94.0,100.0,6.76,RU,1611957967.0
bloomfield,40.8068,-74.1854,24.8,36.0,1.0,6.91,US,1611957815.0
honningsvag,70.9821,25.9704,21.2,79.0,75.0,10.36,NO,1611957973.0
suez,29.9737,32.5263,49.01,60.0,0.0,1.3,EG,1611957973.0
singaparna,-7.3515,108.111,70.79,87.0,100.0,2.59,ID,1611957973.0
chichawatni,30.5333,72.7,50.58,39.0,0.0,2.59,PK,1611957973.0
severnoye,56.3491,78.3619,-1.17,92.0,100.0,8.14,RU,1611957974.0
nhulunbuy,-12.2333,136.7667,80.6,83.0,62.0,9.22,AU,1611957975.0
ketchikan,55.3422,-131.6461,33.8,86.0,90.0,6.91,US,1611957975.0
luena,-11.7833,19.9167,63.12,93.0,95.0,2.68,AO,1611957975.0
deep river,46.1001,-77.4995,10.4,67.0,90.0,9.22,CA,1611957679.0
boende,-0.2167,20.8667,73.02,89.0,97.0,2.3,CD,1611957976.0
ereymentau,51.6199,73.1033,17.1,88.0,20.0,6.46,KZ,1611957976.0
ratnagiri,16.9833,73.3,73.2,52.0,100.0,3.91,IN,1611957976.0
gobabis,-22.45,18.9667,73.24,61.0,100.0,5.68,NA,1611957977.0
aljezur,37.3191,-8.8033,55.99,100.0,94.0,1.01,PT,1611957892.0
ornskoldsvik,63.2909,18.7153,3.2,92.0,46.0,8.05,SE,1611957977.0
candolim,15.5181,73.7626,73.4,83.0,5.0,3.44,IN,1611957977.0
czarnkow,52.9021,16.5641,30.99,24.0,100.0,0.67,PL,1611957977.0
serpneve,46.3009,29.0196,29.71,97.0,94.0,8.3,UA,1611957978.0
egvekinot,66.3167,-179.1667,-21.78,84.0,2.0,10.4,RU,1611957978.0
altay,47.8667,88.1167,3.42,78.0,48.0,1.83,CN,1611957978.0
katsuura,35.1333,140.3,36.0,48.0,20.0,19.57,JP,1611957693.0
sao paulo de olivenca,-3.3783,-68.8725,79.56,92.0,100.0,1.12,BR,1611957979.0
lodwar,3.1191,35.5973,82.22,40.0,0.0,6.76,KE,1611957979.0
